city_code,total
0,27947
7,791
10,449
11,626
13,723
15,471
16,696
18,646
21,1204
22,222
23,257
24,856
26,3460
27,399
28,16752
29,1802
31,36626
32,672
33,669
35,519
36,670
37,574
38,3
39,397
41,3713
43,1832
44,377
46,4668
47,4907
48,1272
49,590
52,851
53,10471
55,605
57,858
58,148
59,1576
62,682
63,668
64,1258
65,2083
66,1406
67,966
69,493
70,255412
71,661
72,1236
74,712
76,772
77,1148
78,394
79,835
80,1178
82,951
84,572
85,1160
86,708
88,83
89,745
90,866
92,813
94,601
95,1315
96,1910
97,781
98,380
99,5593
102,178
103,1368
104,988
106,329
107,140
112,769
113,332
115,1041
122,8202
126,1154
127,564
128,280
130,1405
132,695
133,1041
134,1260
135,659
139,847
140,1273
141,390
142,1107
143,824
144,624
145,389
146,315
147,2786
154,14935
155,1276
156,186
157,1677
158,1959
159,682
160,1187
162,1372
163,823
164,392
165,709
166,24575
167,983
168,27259
170,737
171,7971
173,1237
174,811
175,1413
176,1405
177,1179
178,1207
182,15098
183,397
184,1075
186,219
187,1499
188,814
189,677
190,1967
191,827
192,749
193,605
194,789
195,23103
196,406
197,1059
198,1126
199,1029
200,405
202,333
204,706
205,809
206,1627
207,412
208,1498
212,106
213,1268
217,1259
218,259
219,813
220,664
223,608
224,581
225,884
229,23720
230,939
232,1501
233,731
234,1247
235,465
237,785
239,723
240,26099
241,1435
242,1522
246,43801
247,1372
248,771
249,1495
250,1287
252,272
253,720
254,450
255,740
256,904
257,595
259,1006
262,742
263,374
264,618
265,497
267,2557
268,971
269,1269
270,1225
272,604
273,664
274,1449
276,2884
278,566
280,985
281,531
282,1397
284,1422
285,765
286,942
287,842
288,1153
289,974
290,969
292,663
293,648
294,1231
295,588
296,262
297,827
298,591
300,955
301,689
302,867
303,771
304,935
305,529
306,776
307,1057
308,866
309,1379
310,421
311,375
312,302
313,815
315,1101
316,1091
317,536
318,299
319,693
320,1253
322,819
324,559
325,1307
326,2358
327,1109
328,92
329,1206
330,521
331,1300
334,863
335,1190
336,839
338,686
339,774
340,982
342,709
343,449
344,881
345,732
346,529
347,281
348,633
351,2547
352,472
353,137
354,965
355,402
356,1032
357,1061
358,924
359,663
360,639
362,757
363,662
364,876
365,782
366,939
367,849
368,943
369,574
370,516
371,97
372,590
373,798
374,733
375,1317
376,978
377,990
378,358
379,1005
380,1000
382,1518
383,670
385,601
386,1257
387,925
388,720
389,1141
390,1138
392,39
393,717
394,940
395,1310
396,1110
397,1124
398,415
399,1196
400,1893
402,728
403,601
405,1047
406,979
407,617
408,780
409,869
412,10
413,526
414,649
415,666
416,684
417,803
418,1182
419,991
421,622
422,828
423,914
424,649
425,978
426,807
427,152
428,1069
429,1047
430,847
431,912
432,683
433,783
434,927
435,1024
436,1387
437,1159
439,520
440,789
442,493
443,952
444,663
445,1403
446,1175
447,1941
448,895
449,1472
450,582
452,777
453,779
454,992
456,1284
457,912
460,694
462,1230
463,802
464,326
465,823
466,7334
469,11367
472,8485
473,13941
475,744
478,15469
480,12577
481,23897
482,10514
483,8640
485,6656
487,3356
489,10935
490,13102
492,10932
493,97
494,18059
496,6805
497,1986
498,15026
499,19875
502,16386
504,12715
505,4051
507,11228
508,3565
509,23863
510,21227
511,8703
512,2838
514,1305
516,15919
517,4164
518,3375
520,9069
521,3846
522,13967
523,2036
524,2493
525,4482
526,3075
527,350
528,3445
529,13689
530,5929
531,27383
532,14018
534,12940
535,3559
536,6166
537,13728
538,7646
539,1269
540,1302
541,15493
542,17145
543,8766
546,945
547,1678
549,1024
553,792
555,513
559,1105
562,1610
563,1344
564,955
565,13802
566,12
567,1233
570,959
571,1146
572,750
573,539
574,1715
575,928
576,1237
577,4469
578,539
579,1493
